name,category,class_year,type,gender
The Everly Brothers,Performers,1986,group,male
Alan Freed,Ahmet Ertegun Award,1986,individual,male
Buddy Holly,Performers,1986,individual,male
Chuck Berry,Performers,1986,individual,male
Elvis Presley,Performers,1986,individual,male
Fats Domino,Performers,1986,individual,male
James Brown,Performers,1986,individual,male
Jerry Lee Lewis,Performers,1986,individual,male
John Hammond,Ahmet Ertegun Award,1986,individual,male
Ray Charles,Performers,1986,individual,male
Jimmie Rodgers,Early Influences,1986,individual,male
Jimmy Yancey,Early Influences,1986,individual,male
Little Richard,Performers,1986,individual,male
Robert Johnson,Early Influences,1986,individual,male
Sam Cooke,Performers,1986,individual,male
Sam Phillips,Ahmet Ertegun Award,1986,individual,male
Jerry Leiber and Mike Stoller,Ahmet Ertegun Award,1987,group,male
The Coasters,Performers,1987,group,male
Ahmet Ertegun,Ahmet Ertegun Award,1987,individual,male
Aretha Franklin,Performers,1987,individual,female
B.B. King,Performers,1987,individual,male
Big Joe Turner,Performers,1987,individual,male
Bill Haley,Performers,1987,individual,male
Bo Diddley,Performers,1987,individual,male
Carl Perkins,Performers,1987,individual,male
Clyde McPhatter,Performers,1987,individual,male
Eddie Cochran,Performers,1987,individual,male
Hank Williams,Early Influences,1987,individual,male
Jackie Wilson,Performers,1987,individual,male
Jerry Wexler,Ahmet Ertegun Award,1987,individual,male
Marvin Gaye,Performers,1987,individual,male
Roy Orbison,Performers,1987,individual,male
Leonard Chess,Ahmet Ertegun Award,1987,individual,male
Louis Jordan,Early Influences,1987,individual,male
Muddy Waters,Performers,1987,individual,male
Ricky Nelson,Performers,1987,individual,male
Smokey Robinson,Performers,1987,individual,male
T-Bone Walker,Early Influences,1987,individual,male
The Beach Boys,Performers,1988,group,male
The Beatles,Performers,1988,group,male
The Drifters,Performers,1988,group,male
The Supremes,Performers,1988,group,female
Berry Gordy Jr.,Ahmet Ertegun Award,1988,individual,male
Bob Dylan,Performers,1988,individual,male
Lead Belly,Early Influences,1988,individual,male
Les Paul,Early Influences,1988,individual,male
Woody Guthrie,Early Influences,1988,individual,male
The Ink Spots,Early Influences,1989,group,male
The Rolling Stones,Performers,1989,group,male
The Soul Stirrers,Early Influences,1989,group,male
The Temptations,Performers,1989,group,male
Bessie Smith,Early Influences,1989,individual,female
Stevie Wonder,Performers,1989,individual,male
Dion,Performers,1989,individual,male
Otis Redding,Performers,1989,individual,male
Phil Spector,Ahmet Ertegun Award,1989,individual,male
Gerry Goffin and Carole King,Ahmet Ertegun Award,1990,group,mixed
"Holland, Dozier, Holland",Ahmet Ertegun Award,1990,group,male
The Four Seasons,Performers,1990,group,male
The Four Tops,Performers,1990,group,male
The Kinks,Performers,1990,group,male
The Platters,Performers,1990,group,mixed
The Who,Performers,1990,group,male
Bobby Darin,Performers,1990,individual,male
Charlie Christian,Early Influences,1990,individual,male
Hank Ballard,Performers,1990,individual,male
Louis Armstrong,Early Influences,1990,individual,male
Ma Rainey,Early Influences,1990,individual,female
Simon and Garfunkel,Performers,1990,group,male
Ike and Tina Turner,Performers,1991,group,mixed
The Byrds,Performers,1991,group,male
The Impressions,Performers,1991,group,male
Dave Bartholomew,Ahmet Ertegun Award,1991,individual,male
Howlin' Wolf,Early Influences,1991,individual,male
John Lee Hooker,Performers,1991,individual,male
LaVern Baker,Performers,1991,individual,female
Ralph Bass,Ahmet Ertegun Award,1991,individual,male
Jimmy Reed,Performers,1991,individual,male
Nesuhi Ertegun,Ahmet Ertegun Award,1991,individual,male
Wilson Pickett,Performers,1991,individual,male
Booker T. and the MG's,Performers,1992,group,male
The Isley Brothers,Performers,1992,group,male
The Yardbirds,Performers,1992,group,male
Bill Graham,Ahmet Ertegun Award,1992,individual,male
"Bobby ""Blue"" Bland",Performers,1992,individual,male
Doc Pomus,Ahmet Ertegun Award,1992,individual,male
Elmore James,Early Influences,1992,individual,male
Johnny Cash,Performers,1992,individual,male
Jimi Hendrix Experience,Performers,1992,group,male
Leo Fender,Ahmet Ertegun Award,1992,individual,male
Professor Longhair,Early Influences,1992,individual,male
Sam and Dave,Performers,1992,group,male
Cream,Performers,1993,group,male
Creedence Clearwater Revival,Performers,1993,group,male
Frankie Lymon and the Teenagers,Performers,1993,group,male
The Doors,Performers,1993,group,male
Dick Clark,Ahmet Ertegun Award,1993,individual,male
Dinah Washington,Early Influences,1993,individual,female
Etta James,Performers,1993,individual,female
Ruth Brown,Performers,1993,individual,female
Milt Gabler,Ahmet Ertegun Award,1993,individual,male
Sly and the family Stone,Performers,1993,group,mixed
Van Morrison,Performers,1993,individual,male
The Animals,Performers,1994,group,male
The Band,Performers,1994,group,male
The Grateful Dead,Performers,1994,group,male
Bob Marley,Performers,1994,individual,male
Duane Eddy,Performers,1994,individual,male
Elton John,Performers,1994,individual,male
John Lennon,Performers,1994,individual,male
Rod Stewart,Performers,1994,individual,male
Willie Dixon,Early Influences,1994,individual,male
Johnny Otis,Ahmet Ertegun Award,1994,individual,male
Led Zeppelin,Performers,1995,group,male
The Allman Brothers Band,Performers,1995,group,male
The Orioles,Early Influences,1995,group,male
Al Green,Performers,1995,individual,male
Frank Zappa,Performers,1995,individual,male
Janis Joplin,Performers,1995,individual,female
Paul Ackerman,Ahmet Ertegun Award,1995,individual,male
Martha and the Vandellas,Performers,1995,group,female
Neil Young,Performers,1995,individual,male
Gladys Knight and the Pips,Performers,1996,group,mixed
Jefferson Airplane,Performers,1996,group,mixed
The Shirelles,Performers,1996,group,female
The Velvet Underground,Performers,1996,group,mixed
David Bowie,Performers,1996,individual,male
Little Willie John,Performers,1996,individual,male
Pete Seeger,Early Influences,1996,individual,male
Pink Floyd,Performers,1996,group,male
Tom Donahue,Ahmet Ertegun Award,1996,individual,male
Bee Gees,Performers,1997,group,male
Buffalo Springfield,Performers,1997,group,male
"Crosby, Stills and Nash",Performers,1997,group,male
The (Young) Rascals,Performers,1997,group,male
The Jackson 5,Performers,1997,group,male
Bill Monroe,Early Influences,1997,individual,male
Joni Mitchell,Performers,1997,individual,female
Mahalia Jackson,Early Influences,1997,individual,female
Parliament-Funkadelic,Performers,1997,group,mixed
Syd Nathan,Ahmet Ertegun Award,1997,group,male
Eagles,Performers,1998,group,male
Fleetwood Mac,Performers,1998,group,mixed
The Mamas and the Papas,Performers,1998,group,mixed
Allen Toussaint,Ahmet Ertegun Award,1998,individual,male
Gene Vincent,Performers,1998,individual,male
Jelly Roll Morton,Early Influences,1998,individual,male
Lloyd Price,Performers,1998,individual,male
Santana,Performers,1998,group,male
Bob Wills and his Texas Playboys,Early Influences,1999,group,male
The Staple Singers,Performers,1999,group,mixed
Billy Joel,Performers,1999,individual,male
Bruce Springsteen,Performers,1999,individual,male
Charles Brown,Early Influences,1999,individual,male
Curtis Mayfield,Performers,1999,individual,male
Del Shannon,Performers,1999,individual,male
Dusty Springfield,Performers,1999,individual,female
George Martin,Ahmet Ertegun Award,1999,individual,male
Paul McCartney,Performers,1999,individual,male
"Earth, Wind and Fire",Performers,2000,group,male
The Moonglows,Performers,2000,group,male
Billie Holiday,Early Influences,2000,individual,female
Bonnie Raitt,Performers,2000,individual,female
Clive Davis,Ahmet Ertegun Award,2000,individual,male
Earl Palmer,Musical Excellence,2000,individual,male
Eric Clapton,Performers,2000,individual,male
Hal Blaine,Musical Excellence,2000,individual,male
James Jamerson,Musical Excellence,2000,individual,male
James Taylor,Performers,2000,individual,male
"Nat ""King"" Cole",Early Influences,2000,individual,male
Scotty Moore,Musical Excellence,2000,individual,male
King Curtis,Musical Excellence,2000,individual,male
The Lovin' Spoonful,Performers,2000,group,male
Aerosmith,Performers,2001,group,male
Queen,Performers,2001,group,male
The Flamingos,Performers,2001,group,male
Chris Blackwell,Ahmet Ertegun Award,2001,individual,male
James Burton,Musical Excellence,2001,individual,male
Michael Jackson,Performers,2001,individual,male
Paul Simon,Performers,2001,individual,male
Solomon Burke,Performers,2001,individual,male
Johnnie Johnson,Musical Excellence,2001,individual,male
Ritchie Valens,Performers,2001,individual,male
Steely Dan,Performers,2001,group,male
Tom Petty and the Heartbreakers,Performers,2002,group,male
Brenda Lee,Performers,2002,individual,female
Chet Atkins,Musical Excellence,2002,individual,male
Gene Pitney,Performers,2002,individual,male
Isaac Hayes,Performers,2002,individual,male
Jim Stewart,Ahmet Ertegun Award,2002,individual,male
Ramones,Performers,2002,group,male
Talking Heads,Performers,2002,group,mixed
AC/DC,Performers,2003,group,male
Elvis Costello and the Attractions,Performers,2003,group,male
The Clash,Performers,2003,group,male
The Police,Performers,2003,group,male
Benny Benjamin,Musical Excellence,2003,individual,male
Floyd Cramer,Musical Excellence,2003,individual,male
Steve Douglas,Musical Excellence,2003,individual,male
Mo Ostin,Ahmet Ertegun Award,2003,individual,male
Righteous Brothers,Performers,2003,group,male
The Dells,Performers,2004,group,male
ZZ Top,Performers,2004,group,male
Bob Seger,Performers,2004,individual,male
George Harrison,Performers,2004,individual,male
Jackson Browne,Performers,2004,individual,male
Jann S. Wenner,Ahmet Ertegun Award,2004,individual,male
Prince,Performers,2004,individual,male
Traffic,Performers,2004,group,male
The O'Jays,Performers,2005,group,male
The Pretenders,Performers,2005,group,mixed
U2,Performers,2005,group,male
Buddy Guy,Performers,2005,individual,male
Frank Barsalona,Ahmet Ertegun Award,2005,individual,male
Seymour Stein,Ahmet Ertegun Award,2005,individual,male
Percy Sledge,Performers,2005,individual,male
Black Sabbath,Performers,2006,group,male
Blondie,Performers,2006,group,mixed
Herb Alpert and Jerry Moss,Ahmet Ertegun Award,2006,group,male
Lynyrd Skynyrd,Performers,2006,group,male
Sex Pistols,Performers,2006,group,male
Miles Davis,Performers,2006,individual,male
Grandmaster Flash and the Furious Five,Performers,2007,group,male
R.E.M.,Performers,2007,group,male
The Ronettes,Performers,2007,group,female
Van Halen,Performers,2007,group,male
Patti Smith,Performers,2007,individual,female
Kenny Gamble and Leon Huff,Ahmet Ertegun Award,2008,group,male
The Dave Clark Five,Performers,2008,group,male
The Ventures,Performers,2008,group,male
John Mellencamp,Performers,2008,individual,male
Leonard Cohen,Performers,2008,individual,male
Madonna,Performers,2008,individual,female
Little Walter,Musical Excellence,2008,individual,male
Metallica,Performers,2009,group,male
Run DMC,Performers,2009,group,male
Bill Black,Musical Excellence,2009,individual,male
Bobby Womack,Performers,2009,individual,male
D.J. Fontana,Musical Excellence,2009,individual,male
Jeff Beck,Performers,2009,individual,male
Little Anthony and the Imperials,Performers,2009,group,male
Spooner Oldham,Musical Excellence,2009,individual,male
Wanda Jackson,Early Influences,2009,individual,female
Abba,Performers,2010,group,mixed
Barry Mann and Cynthia Weil,Ahmet Ertegun Award,2010,group,mixed
Ellie Greenwich and Jeff Barry,Ahmet Ertegun Award,2010,group,mixed
Genesis,Performers,2010,group,male
The Hollies,Performers,2010,group,male
The Stooges,Performers,2010,group,male
David Geffen,Ahmet Ertegun Award,2010,individual,male
Jesse Stone,Ahmet Ertegun Award,2010,individual,male
Jimmy Cliff,Performers,2010,individual,male
Otis Blackwell,Ahmet Ertegun Award,2010,individual,male
Mort Shuman,Ahmet Ertegun Award,2010,individual,male
Alice Cooper,Performers,2011,group,male
Art Rupe,Ahmet Ertegun Award,2011,individual,male
Darlene Love,Performers,2011,individual,female
Dr. John,Performers,2011,individual,male
Jac Holzman,Ahmet Ertegun Award,2011,individual,male
Neil Diamond,Performers,2011,individual,male
Leon Russell,Musical Excellence,2011,individual,male
Tom Waits,Performers,2011,individual,male
Beastie Boys,Performers,2012,group,male
Guns N' Roses,Performers,2012,group,male
Red Hot Chili Peppers,Performers,2012,group,male
The Blue Caps,Performers,2012,group,male
The Comets,Performers,2012,group,male
The Crickets,Performers,2012,group,male
The Famous Flames,Performers,2012,group,male
The Midnighters,Performers,2012,group,male
The Miracles,Performers,2012,group,mixed
The Small Faces/Faces,Performers,2012,group,male
Cosimo Matassa,Musical Excellence,2012,individual,male
Don Kirshner,Ahmet Ertegun Award,2012,individual,male
Donovan ,Performers,2012,individual,male
Freddie King,Early Influences,2012,individual,male
Glyn Johns,Musical Excellence,2012,individual,male
Tom Dowd,Musical Excellence,2012,individual,male
Laura Nyro,Performers,2012,individual,female
Heart,Performers,2013,group,female
Albert King,Performers,2013,individual,male
Donna Summer,Performers,2013,individual,female
Lou Adler,Ahmet Ertegun Award,2013,individual,male
Quincy Jones,Ahmet Ertegun Award,2013,individual,male
Public Enemy ,Performers,2013,group,male
Randy Newman,Performers,2013,individual,male
Rush,Performers,2013,group,male
Hall and Oates,Performers,2014,group,male
KISS,Performers,2014,group,male
The E Street Band,Musical Excellence,2014,group,mixed
Andrew Loog Oldham,Ahmet Ertegun Award,2014,individual,male
Brian Epstein,Ahmet Ertegun Award,2014,individual,male
Cat Stevens,Performers,2014,individual,male
Linda Ronstadt,Performers,2014,individual,female
Nirvana,Performers,2014,group,male
Peter  Gabriel,Performers,2014,individual,male
Green Day,Performers,2015,group,male
"The ""5"" Royales",Early Influences,2015,group,male
The Paul Butterfield Blues Band,Performers,2015,group,male
Bill Withers,Performers,2015,individual,male
Joan Jett & the Blackhearts,Performers,2015,group,mixed
Lou Reed,Performers,2015,individual,male
Ringo Starr,Musical Excellence,2015,individual,male
Stevie Ray Vaughan & Double Trouble,Performers,2015,group,male
Cheap Trick,Performers,2016,group,male
Chicago,Performers,2016,group,male
Deep Purple,Performers,2016,group,male
Bert Berns,Ahmet Ertegun Award,2016,individual,male
N.W.A,Performers,2016,group,male
Steve Miller,Performers,2016,group,male
Elo,Performers,2017,group,male
Journey,Performers,2017,group,male
Joan Baez,Performers,2017,individual,female
Nile Rodgers,Musical Excellence,2017,individual,male
Pearl Jam,Performers,2017,group,male
Tupac Shakur,Performers,2017,individual,male
Yes,Performers,2017,group,male
Bon Jovi,Performers,2018,group,male
Dire Straits,Performers,2018,group,male
The Cars,Performers,2018,group,male
The Moody Blues,Performers,2018,group,male
Nina Simone,Performers,2018,individual,female
Sister Rosetta Tharpe,Early Influences,2018,individual,female
Def Leppard,Performers,2019,group,male
Radiohead,Performers,2019,group,male
Roxy Music,Performers,2019,group,male
The Cure,Performers,2019,group,male
The Zombies,Performers,2019,group,mixed
Janet Jackson,Performers,2019,individual,female
Stevie Nicks,Performers,2019,individual,female
Depeche Mode,Performers,2020,group,male
Nine Inch Nails,Performers,2020,group,male
The Doobie Brothers,Performers,2020,group,male
The Notorious B.I.G.,Performers,2020,individual,male
Irving Azoff,Ahmet Ertegun Award,2020,individual,male
Whitney Houston,Performers,2020,individual,female
Jon Landau,Ahmet Ertegun Award,2020,individual,male
T. Rex,Performers,2020,group,male
Foo Fighters,Performers,2021,group,male
The Go-Go's,Performers,2021,group,female
Billy Preston ,Musical Excellence,2021,individual,male
Carole King,Performers,2021,individual,female
Charley Patton,Early Influences,2021,individual,male
Clarence Avant ,Ahmet Ertegun Award,2021,individual,male
Gil Scott-Heron,Early Influences,2021,individual,male
JAY-Z,Performers,2021,individual,male
Tina Turner,Performers,2021,individual,female
Kraftwerk,Early Influences,2021,group,male
LL Cool J,Musical Excellence,2021,individual,male
Randy Rhoads,Musical Excellence,2021,individual,male
Todd Rundgren ,Performers,2021,individual,male
Duran Duran,Performers,2022,group,male
Eurythmics,Performers,2022,group,mixed
Judas Priest,Musical Excellence,2022,group,male
Pat Benatar & Neil Giraldo,Performers,2022,group,mixed
Allen Grubman,Ahmet Ertegun Award,2022,individual,male
Carly Simon,Performers,2022,individual,female
Dolly Parton,Performers,2022,individual,female
Elizabeth Cotten,Early Influences,2022,individual,female
Eminem,Performers,2022,individual,male
Harry Belafonte,Early Influences,2022,individual,male
Lionel Richie,Performers,2022,individual,male
Jimmy Iovine,Ahmet Ertegun Award,2022,individual,male
Jimmy Jam & Terry Lewis,Musical Excellence,2022,group,male
Sylvia Robinson,Ahmet Ertegun Award,2022,individual,female
Willie Nelson,Performers,2023,individual,male
Bernie Taupin,Musical Excellence,2023,individual,male
The Spinners,Performers,2023,group,male
Sheryl Crow,Performers,2023,individual,female
Rage Against The Machine,Performers,2023,group,male
Missy Elliott,Performers,2023,individual,female
Link Wray,Early Influences,2023,individual,male
Al Kooper,Musical Excellence,2023,individual,male
Chaka Khan,Musical Excellence,2023,individual,female
Kate Bush,Performers,2023,individual,female
George Michael,Performers,2023,individual,male
DJ Kool Herc,Early Influences,2023,individual,male
Don Cornelius,Ahmet Ertegun Award,2023,individual,male
Norman Whitfield,Musical Excellence,2024,individual,male
John Mayall,Musical Influence,2024,individual,male
Alexis Korner,Musical Influence,2024,individual,male
Jimmy Buffett,Musical Excellence,2024,individual,male
Suzanne De Passe,Ahmet Ertegun Award,2024,individual,female
MC5,Musical Excellence,2024,group,male
Big Mama Thornton,Musical Influence,2024,individual,female
Dionne Warwick,Musical Excellence,2024,individual,female
A Tribe Called Quest,Performers,2024,group,male
Ozzy Osbourne,Performers,2024,individual,male
Kool & The Gang,Performers,2024,group,male
Peter Frampton,Performers,2024,individual,male
Foreigner,Performers,2024,group,male
Dave Matthews Band,Performers,2024,group,male
Cher,Performers,2024,individual,female
Mary J. Blige,Performers,2024,individual,female